               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082872,            0.030313,                   0,           0.0022222,             0.16667,            0.001659,          0.00025893,            0.080174,            0.026255,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.080367,            0.029245,                   0,           0.0013333,             0.16667,           0.0010299,          0.00014559,            0.073535,            0.022964,                   0,            0.066654,           0.0036542,           0.0036542
                   2,            0.077342,            0.028353,                   0,           0.0046667,             0.58333,            0.021659,           0.0047956,            0.068202,            0.023583,                   0,            0.049461,           0.0054614,           0.0054614
                   3,             0.07736,            0.029557,                   0,           0.0044444,             0.66667,            0.021431,           0.0048636,            0.068202,            0.023583,                   0,            0.032222,           0.0072216,           0.0072216
                   4,            0.065154,            0.026393,                   0,           0.0033333,                 0.5,            0.021997,           0.0056683,            0.062982,            0.022052,                   0,            0.014935,           0.0089347,           0.0089347
                   5,            0.073979,            0.026591,                   0,            0.012824,             0.41667,            0.088375,            0.019285,            0.056561,             0.01962,                   0,           0.0093813,           0.0093813,           0.0093813
                   6,            0.058547,            0.023901,                   0,            0.012824,             0.41667,            0.088375,            0.019285,            0.056561,             0.01962,                   0,           0.0093813,           0.0093813,           0.0093813
                   7,            0.067557,            0.025715,                   0,           0.0033333,             0.83333,            0.022782,            0.004837,            0.057028,            0.017296,                   0,           0.0092575,           0.0092575,           0.0092575
                   8,            0.060041,            0.024586,                   0,           0.0033333,             0.83333,            0.022782,            0.004837,            0.057028,            0.017296,                   0,           0.0091337,           0.0091337,           0.0091337
                   9,            0.070275,            0.024991,                   0,             0.04471,             0.58333,             0.12054,            0.021144,            0.050378,            0.016089,                   0,             0.00901,             0.00901,             0.00901
                  10,            0.066767,            0.025167,                   0,            0.015229,             0.91667,              0.1495,            0.033395,            0.052157,            0.015486,                   0,           0.0088863,           0.0088863,           0.0088863
                  11,            0.052263,            0.020869,                   0,            0.015229,             0.91667,              0.1495,            0.033395,            0.052157,            0.015486,                   0,           0.0087625,           0.0087625,           0.0087625
                  12,            0.057349,            0.022785,                   0,             0.13634,             0.16667,             0.14111,            0.035111,            0.047673,             0.01467,                   0,           0.0086388,           0.0086388,           0.0086388
                  13,            0.062929,            0.022284,                   0,             0.13634,             0.16667,             0.14111,            0.035111,            0.047673,             0.01467,                   0,            0.008515,            0.008515,            0.008515
                  14,            0.055415,            0.021211,                   0,            0.017578,                0.75,            0.094831,             0.02234,            0.045168,            0.013753,                   0,           0.0083913,           0.0083913,           0.0083913
                  15,            0.057349,            0.021513,                   0,             0.18752,             0.16667,             0.23212,            0.082644,            0.047896,            0.013016,                   0,           0.0082675,           0.0082675,           0.0082675
                  16,            0.057437,            0.022002,                   0,             0.18752,             0.16667,             0.23212,            0.082644,            0.047896,            0.013016,                   0,           0.0081437,           0.0081437,           0.0081437
                  17,            0.053301,            0.017795,                   0,              0.6355,             0.16667,             0.20256,            0.074318,            0.046739,            0.013179,                   0,             0.00802,             0.00802,             0.00802
                  18,            0.045396,            0.017741,                   0,              0.6355,             0.16667,             0.20256,            0.074318,            0.046739,            0.013179,                   0,           0.0078963,           0.0078963,           0.0078963
                  19,            0.053743,            0.022549,                   0,             0.25879,             0.16667,             0.25266,             0.12158,            0.046861,            0.011875,                   0,           0.0077725,           0.0077725,           0.0077725
                  20,            0.048062,            0.017929,                   0,             0.17423,                 0.5,             0.24975,            0.062935,            0.042322,            0.011448,                   0,           0.0076488,           0.0076488,           0.0076488
                  21,            0.047955,            0.019553,                   0,             0.17423,                 0.5,             0.24975,            0.062935,            0.042322,            0.011448,                   0,            0.007525,            0.007525,            0.007525
                  22,            0.049743,            0.019048,                   0,              0.2689,             0.41667,             0.31277,             0.12177,            0.042257,            0.010897,                   0,           0.0074013,           0.0074013,           0.0074013
                  23,            0.052109,            0.020404,                   0,              0.2689,             0.41667,             0.31277,             0.12177,            0.042257,            0.010897,                   0,           0.0072775,           0.0072775,           0.0072775
                  24,            0.045549,            0.019086,                   0,             0.57332,             0.41667,             0.41436,              0.1234,              0.0338,            0.010981,                   0,           0.0071538,           0.0071538,           0.0071538
                  25,            0.046252,            0.015573,                   0,             0.57332,             0.41667,             0.41436,              0.1234,              0.0338,            0.010981,                   0,             0.00703,             0.00703,             0.00703
                  26,             0.04984,             0.02058,                   0,             0.26335,             0.41667,             0.41952,             0.11694,            0.036089,            0.011068,                   0,           0.0069063,           0.0069063,           0.0069063
                  27,            0.041221,            0.019611,                   0,             0.33874,             0.34213,             0.41284,              0.2087,            0.034357,            0.010879,                   0,           0.0067825,           0.0067825,           0.0067825
                  28,            0.048102,            0.019318,                   0,             0.33874,             0.34213,             0.41284,              0.2087,            0.034357,            0.010879,                   0,           0.0066587,           0.0066587,           0.0066587
                  29,            0.041561,            0.020099,                   0,             0.38645,             0.41667,             0.46042,             0.29384,            0.033638,            0.010748,                   0,            0.006535,            0.006535,            0.006535
                  30,            0.049383,            0.017579,                   0,             0.38645,             0.41667,             0.46042,             0.29384,            0.033638,            0.010748,                   0,           0.0064112,           0.0064112,           0.0064112
                  31,            0.045743,             0.01886,                   0,             0.43236,             0.41667,             0.47423,             0.30774,            0.035109,            0.010567,                   0,           0.0062875,           0.0062875,           0.0062875
